mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 1, elapsed_time: 0.2 s, best route: 80121.38
Generation: 2, elapsed_time: 0.4 s, best route: 79684.48
Generation: 3, elapsed_time: 0.6 s, best route: 77949.51
Generation: 4, elapsed_time: 0.8 s, best route: 76682.05
Generation: 5, elapsed_time: 0.9 s, best route: 75745.54
Generation: 6, elapsed_time: 1.1 s, best route: 74735.67
Generation: 7, elapsed_time: 1.3 s, best route: 74319.91
Generation: 8, elapsed_time: 1.6 s, best route: 73402.85
Generation: 9, elapsed_time: 1.7 s, best route: 72140.17
Generation: 10, elapsed_time: 1.9 s, best route: 70791.17
Generation: 11, elapsed_time: 2.1 s, best route: 68769.36
Generation: 12, elapsed_time: 2.3 s, best route: 68685.67
Generation: 13, elapsed_time: 2.4 s, best route: 67811.61
Generation: 14, elapsed_time: 2.6 s, best route: 66756.48
Generation: 15, elapsed_time: 2.8 s, best route: 66387.76
Generation: 16, elapsed_time: 2.9 s, best route: 65374.50
Generation: 17, elapsed_time: 3.2 s, best route: 65237.75
Generation: 18, elapsed_time: 3.4 s, best route: 64588.67
Generation: 19, elapsed_time: 3.7 s, best route: 64336.92
Generation: 20, elapsed_time: 4.0 s, best route: 63655.54
Generation: 21, elapsed_time: 4.2 s, best route: 62838.72
Generation: 22, elapsed_time: 4.4 s, best route: 62838.72
Generation: 23, elapsed_time: 4.6 s, best route: 62838.72
Generation: 24, elapsed_time: 4.9 s, best route: 62172.82
Generation: 25, elapsed_time: 5.2 s, best route: 62063.92
Generation: 26, elapsed_time: 5.5 s, best route: 61902.19
Generation: 27, elapsed_time: 5.8 s, best route: 61628.11
Generation: 28, elapsed_time: 6.1 s, best route: 61496.14
Generation: 29, elapsed_time: 6.4 s, best route: 60503.25
Generation: 30, elapsed_time: 6.7 s, best route: 60248.81
Generation: 31, elapsed_time: 7.0 s, best route: 60073.69
Generation: 32, elapsed_time: 7.3 s, best route: 59771.23
Generation: 33, elapsed_time: 7.6 s, best route: 59067.89
Generation: 34, elapsed_time: 7.9 s, best route: 58898.68
Generation: 35, elapsed_time: 8.2 s, best route: 58247.46
Generation: 36, elapsed_time: 8.5 s, best route: 58223.48
Generation: 37, elapsed_time: 8.7 s, best route: 58156.50
Generation: 38, elapsed_time: 9.0 s, best route: 58094.69
Generation: 39, elapsed_time: 9.2 s, best route: 57366.19
Generation: 40, elapsed_time: 9.5 s, best route: 56979.05
Generation: 41, elapsed_time: 9.7 s, best route: 56979.05
Generation: 42, elapsed_time: 10.0 s, best route: 56746.84
Generation: 43, elapsed_time: 10.2 s, best route: 56041.75
Generation: 44, elapsed_time: 10.6 s, best route: 55200.39
Generation: 45, elapsed_time: 10.9 s, best route: 54669.67
Generation: 46, elapsed_time: 11.1 s, best route: 54084.70
Generation: 47, elapsed_time: 11.3 s, best route: 54084.70
Generation: 48, elapsed_time: 11.6 s, best route: 53848.00
Generation: 49, elapsed_time: 11.9 s, best route: 53835.81
Generation: 50, elapsed_time: 12.1 s, best route: 53708.95
Generation: 51, elapsed_time: 12.3 s, best route: 53708.95
Generation: 52, elapsed_time: 12.6 s, best route: 53505.95
Generation: 53, elapsed_time: 12.8 s, best route: 53354.33
Generation: 54, elapsed_time: 13.1 s, best route: 53337.82
Generation: 55, elapsed_time: 13.3 s, best route: 53176.83
Generation: 56, elapsed_time: 13.6 s, best route: 52640.00
Generation: 57, elapsed_time: 13.8 s, best route: 52478.66
Generation: 58, elapsed_time: 14.0 s, best route: 52435.14
Generation: 59, elapsed_time: 14.1 s, best route: 52435.14
Generation: 60, elapsed_time: 14.3 s, best route: 52291.55
Generation: 61, elapsed_time: 14.5 s, best route: 52035.91
Generation: 62, elapsed_time: 14.7 s, best route: 51917.20
Generation: 63, elapsed_time: 14.8 s, best route: 51781.57
Generation: 64, elapsed_time: 15.0 s, best route: 51235.39
Generation: 65, elapsed_time: 15.1 s, best route: 51235.39
Generation: 66, elapsed_time: 15.3 s, best route: 50798.12
Generation: 67, elapsed_time: 15.5 s, best route: 50658.74
Generation: 68, elapsed_time: 15.6 s, best route: 50658.74
Generation: 69, elapsed_time: 15.8 s, best route: 50637.44
Generation: 70, elapsed_time: 16.0 s, best route: 50518.65
Generation: 71, elapsed_time: 16.1 s, best route: 50518.65
Generation: 72, elapsed_time: 16.2 s, best route: 49800.62
Generation: 73, elapsed_time: 16.4 s, best route: 49800.62
Generation: 74, elapsed_time: 16.5 s, best route: 49792.83
Generation: 75, elapsed_time: 16.7 s, best route: 49719.14
Generation: 76, elapsed_time: 16.8 s, best route: 49719.14
Generation: 77, elapsed_time: 17.0 s, best route: 49435.96
Generation: 78, elapsed_time: 17.1 s, best route: 49435.96
Generation: 79, elapsed_time: 17.2 s, best route: 49435.96
Generation: 80, elapsed_time: 17.4 s, best route: 49394.99
Generation: 81, elapsed_time: 17.6 s, best route: 48978.48
Generation: 82, elapsed_time: 17.7 s, best route: 48937.51
Generation: 83, elapsed_time: 17.9 s, best route: 48619.83
Generation: 84, elapsed_time: 18.1 s, best route: 48336.94
Generation: 85, elapsed_time: 18.3 s, best route: 47961.70
Generation: 86, elapsed_time: 18.4 s, best route: 47961.70
Generation: 87, elapsed_time: 18.5 s, best route: 47899.39
Generation: 88, elapsed_time: 18.7 s, best route: 47625.28
Generation: 89, elapsed_time: 18.9 s, best route: 47524.15
Generation: 90, elapsed_time: 19.1 s, best route: 47344.46
Generation: 91, elapsed_time: 19.2 s, best route: 47344.46
Generation: 92, elapsed_time: 19.3 s, best route: 47344.46
Generation: 93, elapsed_time: 19.5 s, best route: 47211.08
Generation: 94, elapsed_time: 19.6 s, best route: 47211.08
Generation: 95, elapsed_time: 19.8 s, best route: 46735.00
Generation: 96, elapsed_time: 19.9 s, best route: 46118.84
Generation: 97, elapsed_time: 20.1 s, best route: 46118.84
Generation: 98, elapsed_time: 20.2 s, best route: 46092.20
Generation: 99, elapsed_time: 20.4 s, best route: 46092.20
Generation: 100, elapsed_time: 20.5 s, best route: 46074.46
Generation: 101, elapsed_time: 20.7 s, best route: 45886.86
Generation: 102, elapsed_time: 20.8 s, best route: 45886.86
Generation: 103, elapsed_time: 21.0 s, best route: 45886.86
Generation: 104, elapsed_time: 21.1 s, best route: 45725.48
Generation: 105, elapsed_time: 21.3 s, best route: 45622.86
Generation: 106, elapsed_time: 21.4 s, best route: 45622.86
Generation: 107, elapsed_time: 21.6 s, best route: 45588.07
Generation: 108, elapsed_time: 21.7 s, best route: 45375.43
Generation: 109, elapsed_time: 21.9 s, best route: 45312.43
Generation: 110, elapsed_time: 22.0 s, best route: 45312.43
Generation: 111, elapsed_time: 22.2 s, best route: 45128.51
Generation: 112, elapsed_time: 22.3 s, best route: 45128.51
Generation: 113, elapsed_time: 22.5 s, best route: 45106.83
Generation: 114, elapsed_time: 22.7 s, best route: 44942.69
Generation: 115, elapsed_time: 22.8 s, best route: 44942.69
Generation: 116, elapsed_time: 23.0 s, best route: 44937.73
Generation: 117, elapsed_time: 23.1 s, best route: 44926.39
Generation: 118, elapsed_time: 23.3 s, best route: 44616.75
Generation: 119, elapsed_time: 23.5 s, best route: 44493.48
Generation: 120, elapsed_time: 23.6 s, best route: 44483.17
Generation: 121, elapsed_time: 23.8 s, best route: 44418.23
Generation: 122, elapsed_time: 24.0 s, best route: 44418.23
Generation: 123, elapsed_time: 24.1 s, best route: 44406.88
Generation: 124, elapsed_time: 24.3 s, best route: 44275.31
Generation: 125, elapsed_time: 24.5 s, best route: 44266.34
Generation: 126, elapsed_time: 24.7 s, best route: 44254.99
Generation: 127, elapsed_time: 24.8 s, best route: 44254.99
Generation: 128, elapsed_time: 25.0 s, best route: 44233.43
Generation: 129, elapsed_time: 25.2 s, best route: 44233.43
Generation: 130, elapsed_time: 25.3 s, best route: 44233.43
Generation: 131, elapsed_time: 25.5 s, best route: 44185.09
Generation: 132, elapsed_time: 25.6 s, best route: 44185.09
Generation: 133, elapsed_time: 25.7 s, best route: 44185.09
Generation: 134, elapsed_time: 25.9 s, best route: 44026.35
Generation: 135, elapsed_time: 26.0 s, best route: 44026.35
Generation: 136, elapsed_time: 26.1 s, best route: 44026.35
Generation: 137, elapsed_time: 26.3 s, best route: 44026.35
Generation: 138, elapsed_time: 26.4 s, best route: 43998.21
Generation: 139, elapsed_time: 26.6 s, best route: 43644.90
